sentence1,sentence2,score
"Calculates the service cost using request type, selected course, discounts, and service fees. Stores the estimated amount on the learning application.","Derives a charge estimate by combining base price, adjustments, discounts, and service fees.",1
"Confirms customer approval for the proposed service. Updates the learning application with approval status and confirmation timestamp.","Records the approval decision by saving customer response and updating the learning application status.",1
"Collects the required payment for the approved request. Stores payment reference and marks the learning application as paid.","Settles the payment balance by recording amount, method, reference, and paid status.",1
"Reserves the selected course or service option for the approved request. Blocks it from conflicting use.","Holds the selected service slot by assigning the option and updating reservation status.",1
"Assigns a responsible agent based on skill, schedule, and workload. Updates the learning application with ownership information.","Allocates a case owner by selecting an available agent with matching skills and lower workload.",1
"Schedules the service activity based on availability and customer preference. Stores planned date and execution notes.","Plans the execution slot by saving schedule, assigned owner, and service timing details.",1
"Generates a confirmation record with request details, schedule, payment, and selected service information. Stores confirmation reference.","Produces a confirmation document containing case, schedule, payment, and selected service details.",1
"Sends a status notification to the customer with request progress and next steps. Updates notification delivery status.","Dispatches a status message containing case progress, next step details, and delivery information.",1
"Closes the service case after validation, payment, scheduling, and notification are completed. Stores final status and closure timestamp.","Finalizes the case record by marking it closed after all required actions are complete.",1
"Rejects the request when validation, availability, or document requirements are not met. Records rejection reason.","Denies the request file by saving rejection reason and updating the final status.",1
"Creates a rental request with customer details, selected vehicle, and contact information. Updates the vehicle hire case for initial validation.","Opens a vehicle hire case by storing customer, vehicle, contact, and request details.",1
"Validates the customer profile, contact details, and active status. Updates the vehicle hire case with profile validation results.","Verifies the customer identity record by checking required details and updating the vehicle hire case status.",1
"Checks availability for the selected vehicle and requested date. Updates the vehicle hire case with available options and availability status.","Scans the vehicle availability window and returns matching options for the vehicle hire case.",1
"Reviews submitted documents for completeness and consistency. Updates the vehicle hire case with document review results.","Audits supporting files for the vehicle hire case by checking completeness, validity, and required references.",1
"Calculates the service cost using request type, selected vehicle, discounts, and service fees. Stores the estimated amount on the vehicle hire case.","Derives a charge estimate by combining base price, adjustments, discounts, and service fees.",1
"Confirms customer approval for the proposed service. Updates the vehicle hire case with approval status and confirmation timestamp.","Records the approval decision by saving customer response and updating the vehicle hire case status.",1
"Collects the required payment for the approved request. Stores payment reference and marks the vehicle hire case as paid.","Settles the payment balance by recording amount, method, reference, and paid status.",1
"Reserves the selected vehicle or service option for the approved request. Blocks it from conflicting use.","Holds the selected service slot by assigning the option and updating reservation status.",1
"Assigns a responsible agent based on skill, schedule, and workload. Updates the vehicle hire case with ownership information.","Allocates a case owner by selecting an available agent with matching skills and lower workload.",1
"Schedules the service activity based on availability and customer preference. Stores planned date and execution notes.","Plans the execution slot by saving schedule, assigned owner, and service timing details.",1
"Generates a confirmation record with request details, schedule, payment, and selected service information. Stores confirmation reference.","Produces a confirmation document containing case, schedule, payment, and selected service details.",1
"Sends a status notification to the customer with request progress and next steps. Updates notification delivery status.","Dispatches a status message containing case progress, next step details, and delivery information.",1
"Closes the service case after validation, payment, scheduling, and notification are completed. Stores final status and closure timestamp.","Finalizes the case record by marking it closed after all required actions are complete.",1
"Rejects the request when validation, availability, or document requirements are not met. Records rejection reason.","Denies the request file by saving rejection reason and updating the final status.",1
"Creates a reservation request with guest details, selected table, and contact information. Updates the dining booking for initial validation.","Opens a dining booking by storing guest, table, contact, and request details.",1
"Validates the guest profile, contact details, and active status. Updates the dining booking with profile validation results.","Verifies the guest identity record by checking required details and updating the dining booking status.",1
"Checks availability for the selected table and requested date. Updates the dining booking with available options and availability status.","Scans the table availability window and returns matching options for the dining booking.",1
"Reviews submitted documents for completeness and consistency. Updates the dining booking with document review results.","Audits supporting files for the dining booking by checking completeness, validity, and required references.",1
"Calculates the service cost using request type, selected table, discounts, and service fees. Stores the estimated amount on the dining booking.","Derives a charge estimate by combining base price, adjustments, discounts, and service fees.",1
"Confirms customer approval for the proposed service. Updates the dining booking with approval status and confirmation timestamp.","Records the approval decision by saving customer response and updating the dining booking status.",1
"Collects the required payment for the approved request. Stores payment reference and marks the dining booking as paid.","Settles the payment balance by recording amount, method, reference, and paid status.",1
"Reserves the selected table or service option for the approved request. Blocks it from conflicting use.","Holds the selected service slot by assigning the option and updating reservation status.",1
"Assigns a responsible agent based on skill, schedule, and workload. Updates the dining booking with ownership information.","Allocates a case owner by selecting an available agent with matching skills and lower workload.",1
"Schedules the service activity based on availability and customer preference. Stores planned date and execution notes.","Plans the execution slot by saving schedule, assigned owner, and service timing details.",1
"Generates a confirmation record with request details, schedule, payment, and selected service information. Stores confirmation reference.","Produces a confirmation document containing case, schedule, payment, and selected service details.",1
"Sends a status notification to the customer with request progress and next steps. Updates notification delivery status.","Dispatches a status message containing case progress, next step details, and delivery information.",1
"Closes the service case after validation, payment, scheduling, and notification are completed. Stores final status and closure timestamp.","Finalizes the case record by marking it closed after all required actions are complete.",1
"Rejects the request when validation, availability, or document requirements are not met. Records rejection reason.","Denies the request file by saving rejection reason and updating the final status.",1
"Creates a loan request with member details, selected book, and contact information. Updates the borrowing record for initial validation.","Opens a borrowing record by storing member, book, contact, and request details.",1
"Validates the member profile, contact details, and active status. Updates the borrowing record with profile validation results.","Verifies the member identity record by checking required details and updating the borrowing record status.",1
"Checks availability for the selected book and requested date. Updates the borrowing record with available options and availability status.","Scans the book availability window and returns matching options for the borrowing record.",1
"Reviews submitted documents for completeness and consistency. Updates the borrowing record with document review results.","Audits supporting files for the borrowing record by checking completeness, validity, and required references.",1
"Calculates the service cost using request type, selected book, discounts, and service fees. Stores the estimated amount on the borrowing record.","Derives a charge estimate by combining base price, adjustments, discounts, and service fees.",1
"Confirms customer approval for the proposed service. Updates the borrowing record with approval status and confirmation timestamp.","Records the approval decision by saving customer response and updating the borrowing record status.",1
"Collects the required payment for the approved request. Stores payment reference and marks the borrowing record as paid.","Settles the payment balance by recording amount, method, reference, and paid status.",1
"Reserves the selected book or service option for the approved request. Blocks it from conflicting use.","Holds the selected service slot by assigning the option and updating reservation status.",1
"Assigns a responsible agent based on skill, schedule, and workload. Updates the borrowing record with ownership information.","Allocates a case owner by selecting an available agent with matching skills and lower workload.",1
"Schedules the service activity based on availability and customer preference. Stores planned date and execution notes.","Plans the execution slot by saving schedule, assigned owner, and service timing details.",1
"Generates a confirmation record with request details, schedule, payment, and selected service information. Stores confirmation reference.","Produces a confirmation document containing case, schedule, payment, and selected service details.",1
"Sends a status notification to the customer with request progress and next steps. Updates notification delivery status.","Dispatches a status message containing case progress, next step details, and delivery information.",1
"Closes the service case after validation, payment, scheduling, and notification are completed. Stores final status and closure timestamp.","Finalizes the case record by marking it closed after all required actions are complete.",1
"Rejects the request when validation, availability, or document requirements are not met. Records rejection reason.","Denies the request file by saving rejection reason and updating the final status.",1
"Creates a membership request with applicant details, selected gym plan, and contact information. Updates the fitness enrollment for initial validation.","Opens a fitness enrollment by storing applicant, gym plan, contact, and request details.",1
"Validates the applicant profile, contact details, and active status. Updates the fitness enrollment with profile validation results.","Verifies the applicant identity record by checking required details and updating the fitness enrollment status.",1
"Checks availability for the selected gym plan and requested date. Updates the fitness enrollment with available options and availability status.","Scans the gym plan availability window and returns matching options for the fitness enrollment.",1
"Reviews submitted documents for completeness and consistency. Updates the fitness enrollment with document review results.","Audits supporting files for the fitness enrollment by checking completeness, validity, and required references.",1
"Calculates the service cost using request type, selected gym plan, discounts, and service fees. Stores the estimated amount on the fitness enrollment.","Derives a charge estimate by combining base price, adjustments, discounts, and service fees.",1
"Confirms customer approval for the proposed service. Updates the fitness enrollment with approval status and confirmation timestamp.","Records the approval decision by saving customer response and updating the fitness enrollment status.",1
"Collects the required payment for the approved request. Stores payment reference and marks the fitness enrollment as paid.","Settles the payment balance by recording amount, method, reference, and paid status.",1
"Reserves the selected gym plan or service option for the approved request. Blocks it from conflicting use.","Holds the selected service slot by assigning the option and updating reservation status.",1
"Assigns a responsible agent based on skill, schedule, and workload. Updates the fitness enrollment with ownership information.","Allocates a case owner by selecting an available agent with matching skills and lower workload.",1
"Schedules the service activity based on availability and customer preference. Stores planned date and execution notes.","Plans the execution slot by saving schedule, assigned owner, and service timing details.",1
"Generates a confirmation record with request details, schedule, payment, and selected service information. Stores confirmation reference.","Produces a confirmation document containing case, schedule, payment, and selected service details.",1
"Sends a status notification to the customer with request progress and next steps. Updates notification delivery status.","Dispatches a status message containing case progress, next step details, and delivery information.",1
"Closes the service case after validation, payment, scheduling, and notification are completed. Stores final status and closure timestamp.","Finalizes the case record by marking it closed after all required actions are complete.",1
"Rejects the request when validation, availability, or document requirements are not met. Records rejection reason.","Denies the request file by saving rejection reason and updating the final status.",1
"Creates a claim request with policyholder details, selected incident, and contact information. Updates the policy claim for initial validation.","Opens a policy claim by storing policyholder, incident, contact, and request details.",1
"Validates the policyholder profile, contact details, and active status. Updates the policy claim with profile validation results.","Verifies the policyholder identity record by checking required details and updating the policy claim status.",1
"Checks availability for the selected incident and requested date. Updates the policy claim with available options and availability status.","Scans the incident availability window and returns matching options for the policy claim.",1
"Reviews submitted documents for completeness and consistency. Updates the policy claim with document review results.","Audits supporting files for the policy claim by checking completeness, validity, and required references.",1
"Calculates the service cost using request type, selected incident, discounts, and service fees. Stores the estimated amount on the policy claim.","Derives a charge estimate by combining base price, adjustments, discounts, and service fees.",1
"Confirms customer approval for the proposed service. Updates the policy claim with approval status and confirmation timestamp.","Records the approval decision by saving customer response and updating the policy claim status.",1
"Collects the required payment for the approved request. Stores payment reference and marks the policy claim as paid.","Settles the payment balance by recording amount, method, reference, and paid status.",1
"Reserves the selected incident or service option for the approved request. Blocks it from conflicting use.","Holds the selected service slot by assigning the option and updating reservation status.",1
"Creates a claim request with policyholder details, selected incident, and contact information. Updates the policy claim for initial validation.","Settles the payment balance by recording amount, method, reference, and paid status.",0
"Validates the policyholder profile, contact details, and active status. Updates the policy claim with profile validation results.","Holds the selected service slot by assigning the option and updating reservation status.",0
"Checks availability for the selected incident and requested date. Updates the policy claim with available options and availability status.","Dispatches a status message containing case progress, next step details, and delivery information.",0
"Reviews submitted documents for completeness and consistency. Updates the policy claim with document review results.","Finalizes the case record by marking it closed after all required actions are complete.",0
"Calculates the service cost using request type, selected incident, discounts, and service fees. Stores the estimated amount on the policy claim.","Allocates a case owner by selecting an available agent with matching skills and lower workload.",0
"Confirms customer approval for the proposed service. Updates the policy claim with approval status and confirmation timestamp.","Scans the incident availability window and returns matching options for the policy claim.",0
"Collects the required payment for the approved request. Stores payment reference and marks the policy claim as paid.","Audits supporting files for the policy claim by checking completeness, validity, and required references.",0
"Reserves the selected incident or service option for the approved request. Blocks it from conflicting use.","Derives a charge estimate by combining base price, adjustments, discounts, and service fees.",0
"Assigns a responsible agent based on skill, schedule, and workload. Updates the policy claim with ownership information.","Opens a policy claim by storing policyholder, incident, contact, and request details.",0
"Schedules the service activity based on availability and customer preference. Stores planned date and execution notes.","Verifies the policyholder identity record by checking required details and updating the policy claim status.",0
"Generates a confirmation record with request details, schedule, payment, and selected service information. Stores confirmation reference.","Denies the request file by saving rejection reason and updating the final status.",0
"Sends a status notification to the customer with request progress and next steps. Updates notification delivery status.","Settles the payment balance by recording amount, method, reference, and paid status.",0
"Closes the service case after validation, payment, scheduling, and notification are completed. Stores final status and closure timestamp.","Scans the incident availability window and returns matching options for the policy claim.",0
"Rejects the request when validation, availability, or document requirements are not met. Records rejection reason.","Produces a confirmation document containing case, schedule, payment, and selected service details.",0
"Creates a repair request with customer details, selected appliance, and contact information. Updates the maintenance case for initial validation.","Schedules the technician visit by saving preferred date, assigned worker, and repair timing details.",0
"Validates the customer profile, contact details, and active status. Updates the maintenance case with profile validation results.","Computes the repair estimate by combining labor, spare parts, urgency, and service fees.",0
"Checks availability for the selected appliance and requested date. Updates the maintenance case with available options and availability status.","Dispatches a repair completion message with service result, payment status, and next step details.",0
"Reviews submitted documents for completeness and consistency. Updates the maintenance case with document review results.","Assigns a repair technician by selecting an available worker with matching skill and low workload.",0
"Calculates the service cost using request type, selected appliance, discounts, and service fees. Stores the estimated amount on the maintenance case.","Opens a maintenance case by storing customer, appliance, contact, and issue details.",0
"Confirms customer approval for the proposed service. Updates the maintenance case with approval status and confirmation timestamp.","Verifies the customer identity record by checking required details and updating the maintenance case status.",0
"Collects the required payment for the approved request. Stores payment reference and marks the maintenance case as paid.","Inspects the appliance condition by recording fault notes, severity, and inspection timestamp.",0
"Reserves the selected appliance or service option for the approved request. Blocks it from conflicting use.","Finishes the repair job by storing performed actions, used parts, and completion time.",0
"Assigns a responsible agent based on skill, schedule, and workload. Updates the maintenance case with ownership information.","Settles the repair payment by creating payment reference and updating the case as paid.",0
"Schedules the service activity based on availability and customer preference. Stores planned date and execution notes.","Closes the maintenance case after repair, payment, and customer notification are completed.",0
"Generates a confirmation record with request details, schedule, payment, and selected service information. Stores confirmation reference.","Rejects the maintenance case by storing reason and updating final status.",0
"Sends a status notification to the customer with request progress and next steps. Updates notification delivery status.","Computes monthly technician efficiency from completed jobs, delayed visits, and rework cases.",0
"Closes the service case after validation, payment, scheduling, and notification are completed. Stores final status and closure timestamp.","Loads a maintenance case by identifier and raises an error when the case cannot be found.",0
"Rejects the request when validation, availability, or document requirements are not met. Records rejection reason.","Generates a spare parts reorder report by checking inventory levels and expected repair demand.",0
"Creates a repair request with customer details, selected appliance, and contact information. Updates the maintenance case for initial validation.","Opens a maintenance case by storing customer, appliance, contact, and issue details.",1
"Validates the customer profile, contact details, and active status. Updates the maintenance case with profile validation results.","Verifies the customer identity record by checking required details and updating the maintenance case status.",1
"Checks availability for the selected appliance and requested date. Updates the maintenance case with available options and availability status.","Searches appointment availability for appliance repair and returns matching service windows.",1
"Calculates the service cost using request type, selected appliance, discounts, and service fees. Stores the estimated amount on the maintenance case.","Computes the repair estimate by combining labor, spare parts, urgency, and service fees.",1
"Assigns a responsible agent based on skill, schedule, and workload. Updates the maintenance case with ownership information.","Assigns a repair technician by selecting an available worker with matching skill and low workload.",1
"Schedules the service activity based on availability and customer preference. Stores planned date and execution notes.","Schedules the technician visit by saving preferred date, assigned worker, and repair timing details.",1
"Collects the required payment for the approved request. Stores payment reference and marks the maintenance case as paid.","Settles the repair payment by creating payment reference and updating the case as paid.",1
"Closes the service case after validation, payment, scheduling, and notification are completed. Stores final status and closure timestamp.","Closes the maintenance case after repair, payment, and customer notification are completed.",1
"Creates a delivery request with sender details, parcel details, destination address, and contact information. Updates the shipment case for initial validation.","Opens a shipment case by storing sender, parcel, destination, contact, and request details.",1
"Validates the sender profile, contact details, and active status. Updates the shipment case with profile validation results.","Verifies the sender identity record by checking required details and updating the shipment case status.",1
"Checks delivery availability for the destination and requested date. Updates the shipment case with available delivery options.","Scans delivery coverage and returns available shipment options for the destination and requested date.",1
"Calculates delivery cost based on parcel weight, destination, service level, and extra fees. Stores the estimated shipping amount.","Computes shipment price by combining weight, distance, service speed, insurance, and handling fees.",1
"Confirms customer approval for the delivery quotation. Updates the shipment case with approval status and confirmation timestamp.","Records customer approval decision for the shipment quote and updates the case status.",1
"Collects shipping payment for the approved delivery request. Stores payment reference and marks the shipment as paid.","Settles shipment payment by saving amount, method, reference, and paid status.",1
"Generates shipping label with destination, sender, tracking number, and handling instructions. Stores the label reference.","Creates a parcel label by generating tracking number, sender details, destination details, and handling notes.",1
"Assigns courier based on location, workload, and delivery route. Updates the shipment case with courier ownership.","Allocates a delivery courier by selecting an available driver with matching route and low workload.",1
"Schedules parcel pickup based on courier availability and sender preference. Stores pickup time and pickup instructions.","Plans parcel pickup by saving courier, pickup time, address, and collection instructions.",1
"Dispatches parcel for delivery after pickup and label generation. Updates shipment status with dispatch timestamp.","Dispatches the parcel by marking it in transit and storing dispatch time and courier details.",1
"Sends tracking notification to the customer with tracking number and delivery status. Updates notification delivery status.","Sends a tracking update message containing parcel reference, status, and delivery estimate.",1
"Closes the shipment case after delivery confirmation and customer notification. Stores final status and closure timestamp.","Finalizes the shipment case by marking it delivered and closed after notification is complete.",1
"Creates a delivery request with sender details, parcel details, destination address, and contact information. Updates the shipment case for initial validation.","Computes shipment price by combining weight, distance, service speed, insurance, and handling fees.",0
"Validates the sender profile, contact details, and active status. Updates the shipment case with profile validation results.","Creates a parcel label by generating tracking number, sender details, destination details, and handling notes.",0
"Checks delivery availability for the destination and requested date. Updates the shipment case with available delivery options.","Settles shipment payment by saving amount, method, reference, and paid status.",0
"Calculates delivery cost based on parcel weight, destination, service level, and extra fees. Stores the estimated shipping amount.","Allocates a delivery courier by selecting an available driver with matching route and low workload.",0
"Confirms customer approval for the delivery quotation. Updates the shipment case with approval status and confirmation timestamp.","Plans parcel pickup by saving courier, pickup time, address, and collection instructions.",0
"Collects shipping payment for the approved delivery request. Stores payment reference and marks the shipment as paid.","Scans delivery coverage and returns available shipment options for the destination and requested date.",0
"Generates shipping label with destination, sender, tracking number, and handling instructions. Stores the label reference.","Dispatches the parcel by marking it in transit and storing dispatch time and courier details.",0
"Assigns courier based on location, workload, and delivery route. Updates the shipment case with courier ownership.","Sends a tracking update message containing parcel reference, status, and delivery estimate.",0
"Schedules parcel pickup based on courier availability and sender preference. Stores pickup time and pickup instructions.","Finalizes the shipment case by marking it delivered and closed after notification is complete.",0
"Dispatches parcel for delivery after pickup and label generation. Updates shipment status with dispatch timestamp.","Opens a shipment case by storing sender, parcel, destination, contact, and request details.",0
"Sends tracking notification to the customer with tracking number and delivery status. Updates notification delivery status.","Verifies the sender identity record by checking required details and updating the shipment case status.",0
"Closes the shipment case after delivery confirmation and customer notification. Stores final status and closure timestamp.","Generates courier performance report from completed shipments, delays, and customer complaints.",0
"Creates a return request with customer details, original order, returned item, and contact information. Updates the return case for initial validation.","Opens a return case by storing customer, order, item, contact, and return reason details.",1
"Validates the customer profile and order ownership before return processing. Updates the return case with validation results.","Verifies that the customer owns the order and updates the return request status accordingly.",1
"Checks return policy window using purchase date and request date. Updates the return case with eligibility status.","Determines return eligibility by comparing purchase date, request date, and allowed return period.",1
"Generates return shipping label for eligible return request. Stores tracking number and label reference on the return case.","Creates a prepaid return label by generating tracking number and linking it to the return case.",1
"Inspects returned item condition after receiving the package. Records damage notes and restock eligibility.","Examines the returned item by storing condition notes, damage level, and restock decision.",1
"Calculates final refund amount using original amount, fees, and item condition. Stores the refund total on the return case.","Computes refund value by subtracting fees and deductions from the original paid amount.",1
"Issues approved refund to the original payment method. Stores refund reference and updates refund status.","Processes refund payment by generating refund reference and marking the return case as refunded.",1
"Restores returned item to available inventory when restockable. Updates stock quantity and inventory status.","Returns eligible item to stock by increasing inventory quantity and updating item availability.",1
"Sends return status notification to customer with decision and refund information. Updates notification delivery status.","Sends a return update message containing eligibility, inspection result, refund amount, and next steps.",1
"Closes the return case after inspection, refund, inventory update, and notification are completed. Stores final status and timestamp.","Finalizes the return case by closing it after refund, notification, and inventory actions are complete.",1
"Creates a return request with customer details, original order, returned item, and contact information. Updates the return case for initial validation.","Determines return eligibility by comparing purchase date, request date, and allowed return period.",0
"Validates the customer profile and order ownership before return processing. Updates the return case with validation results.","Creates a prepaid return label by generating tracking number and linking it to the return case.",0
"Checks return policy window using purchase date and request date. Updates the return case with eligibility status.","Examines the returned item by storing condition notes, damage level, and restock decision.",0
"Generates return shipping label for eligible return request. Stores tracking number and label reference on the return case.","Computes refund value by subtracting fees and deductions from the original paid amount.",0
"Inspects returned item condition after receiving the package. Records damage notes and restock eligibility.","Processes refund payment by generating refund reference and marking the return case as refunded.",0
"Calculates final refund amount using original amount, fees, and item condition. Stores the refund total on the return case.","Returns eligible item to stock by increasing inventory quantity and updating item availability.",0
"Issues approved refund to the original payment method. Stores refund reference and updates refund status.","Sends a return update message containing eligibility, inspection result, refund amount, and next steps.",0
"Restores returned item to available inventory when restockable. Updates stock quantity and inventory status.","Finalizes the return case by closing it after refund, notification, and inventory actions are complete.",0
"Sends return status notification to customer with decision and refund information. Updates notification delivery status.","Calculates seller penalty based on late returns, damaged items, and refund disputes.",0
"Closes the return case after inspection, refund, inventory update, and notification are completed. Stores final status and timestamp.","Recommends replacement products by comparing returned item category and customer preferences.",0
"Creates a leave request with employee details, leave type, dates, and contact information. Updates the leave case for initial validation.","Opens a leave application by storing employee, leave type, requested dates, and contact details.",1
"Validates employee profile, department, and active employment status. Updates the leave case with employee validation results.","Verifies employee record by checking department, active status, and required profile information.",1
"Checks leave balance for the selected leave type and requested duration. Updates the leave case with balance availability.","Calculates remaining leave balance and checks whether requested days can be approved.",1
"Reviews manager availability for approval routing. Updates the leave request with assigned approver information.","Selects an approval manager based on department, reporting line, and availability.",1
"Submits leave request for manager approval. Updates the leave case with submission timestamp and approval status.","Sends the leave application for approval and records the submission time.",1
"Confirms manager approval decision for the leave request. Updates approval status and decision notes.","Records the manager decision by saving approval result, remarks, and decision timestamp.",1
"Updates employee calendar with approved leave dates. Blocks working schedule during the approved absence period.","Marks approved leave dates on the employee calendar and blocks those days from work assignments.",1
"Sends leave decision notification to employee with approval result and dates. Updates notification delivery status.","Sends an employee notification containing leave decision, approved dates, and next steps.",1
"Closes the leave case after approval, calendar update, and notification are completed. Stores final status and closure timestamp.","Finalizes the leave application after approval handling, calendar update, and employee notification.",1
"Creates a leave request with employee details, leave type, dates, and contact information. Updates the leave case for initial validation.","Calculates remaining leave balance and checks whether requested days can be approved.",0
"Validates employee profile, department, and active employment status. Updates the leave case with employee validation results.","Selects an approval manager based on department, reporting line, and availability.",0
"Checks leave balance for the selected leave type and requested duration. Updates the leave case with balance availability.","Sends the leave application for approval and records the submission time.",0
"Reviews manager availability for approval routing. Updates the leave request with assigned approver information.","Records the manager decision by saving approval result, remarks, and decision timestamp.",0
"Submits leave request for manager approval. Updates the leave case with submission timestamp and approval status.","Marks approved leave dates on the employee calendar and blocks those days from work assignments.",0
"Confirms manager approval decision for the leave request. Updates approval status and decision notes.","Sends an employee notification containing leave decision, approved dates, and next steps.",0
"Updates employee calendar with approved leave dates. Blocks working schedule during the approved absence period.","Finalizes the leave application after approval handling, calendar update, and employee notification.",0
"Sends leave decision notification to employee with approval result and dates. Updates notification delivery status.","Generates department absence report by counting approved leaves and overlapping dates.",0
"Closes the leave case after approval, calendar update, and notification are completed. Stores final status and closure timestamp.","Calculates employee attendance score using late arrivals, absences, and overtime records.",0
"Creates a maintenance request with tenant details, unit number, issue description, and contact information. Updates the property service case for initial validation.","Opens a property maintenance case by storing tenant, unit, issue, contact, and request details.",1
"Validates the tenant profile, lease status, and contact details. Updates the property service case with tenant validation results.","Verifies the tenant record by checking lease status, contact details, and required profile information.",1
"Classifies the maintenance issue based on reported symptoms and property area. Updates the service case with the correct issue category.","Categorizes a maintenance issue by reading the description and assigning plumbing, electrical, cleaning, or general category.",1
"Checks technician availability for the requested maintenance date. Updates the service case with available service windows.","Searches available technician slots and returns matching visit times for the maintenance request.",1
"Estimates maintenance cost based on labor, materials, urgency, and issue category. Stores the estimated amount on the service case.","Calculates repair estimate by combining labor cost, material cost, urgency level, and category adjustment.",1
"Assigns a technician based on skill, availability, and current workload. Updates the service case with technician ownership.","Allocates a maintenance worker by selecting an available technician with matching skills and lower workload.",1
"Schedules maintenance visit based on tenant preference and technician availability. Stores planned visit time and service instructions.","Plans the maintenance visit by saving technician, date, unit number, and service instructions.",1
"Records inspection findings after the technician checks the issue. Updates the service case with fault notes and severity.","Logs maintenance inspection results by storing fault notes, severity level, and inspection timestamp.",1
"Completes maintenance work after repair actions are finished. Stores work notes, used materials, and completion timestamp.","Finishes the maintenance job by recording completed actions, used materials, and repair completion time.",1
"Sends completion notification to the tenant with repair result and next steps. Updates notification delivery status.","Dispatches a tenant update message containing maintenance result, completion status, and follow-up instructions.",1
"Closes the property service case after inspection, repair, and notification are completed. Stores final status and closure timestamp.","Finalizes the maintenance case by marking it closed after repair work and tenant notification are complete.",1
"Creates a maintenance request with tenant details, unit number, issue description, and contact information. Updates the property service case for initial validation.","Calculates repair estimate by combining labor cost, material cost, urgency level, and category adjustment.",0
"Validates the tenant profile, lease status, and contact details. Updates the property service case with tenant validation results.","Searches available technician slots and returns matching visit times for the maintenance request.",0
"Classifies the maintenance issue based on reported symptoms and property area. Updates the service case with the correct issue category.","Allocates a maintenance worker by selecting an available technician with matching skills and lower workload.",0
"Checks technician availability for the requested maintenance date. Updates the service case with available service windows.","Logs maintenance inspection results by storing fault notes, severity level, and inspection timestamp.",0
"Estimates maintenance cost based on labor, materials, urgency, and issue category. Stores the estimated amount on the service case.","Dispatches a tenant update message containing maintenance result, completion status, and follow-up instructions.",0
"Assigns a technician based on skill, availability, and current workload. Updates the service case with technician ownership.","Finalizes the maintenance case by marking it closed after repair work and tenant notification are complete.",0
"Schedules maintenance visit based on tenant preference and technician availability. Stores planned visit time and service instructions.","Generates a building maintenance report by counting open cases, delayed visits, and completed repairs.",0
"Completes maintenance work after repair actions are finished. Stores work notes, used materials, and completion timestamp.","Calculates technician performance score using completed repairs, rework count, and tenant ratings.",0
"Creates a bank account request with customer details, selected account type, and contact information. Updates the account opening case for initial validation.","Opens an account application by storing customer, account type, contact, and request details.",1
"Validates customer identity, contact details, and active profile status. Updates the account opening case with customer validation results.","Verifies the customer profile by checking identity fields, contact information, and account eligibility.",1
"Reviews submitted KYC documents for completeness and consistency. Updates the account opening case with document review results.","Audits KYC documents by checking required files, expiration dates, and consistency with customer details.",1
"Checks risk score based on customer profile and compliance rules. Updates the account opening case with risk classification.","Evaluates customer compliance risk by calculating a risk level from profile and verification signals.",1
"Approves account opening after validation, document review, and risk check. Updates the application with approval status.","Approves the account application when customer validation, KYC review, and risk checks are complete.",1
"Creates the customer bank account with account type and initial status. Stores account number and creation timestamp.","Creates a bank account record by generating account number, assigning type, and setting opening status.",1
"Collects initial deposit for the approved account. Stores payment reference and updates deposit status.","Records opening deposit by saving amount, method, reference, and paid status.",1
